TEA,SLN,AreaSqMi,popaduE,popaduM,bachE,bachM,profE,profM,k34E,k34M,multdegE,multdegM,k34esE,k34esM,multdegCV,k34esCV,oostct,oostcap,oostcap_me,qualcc,kidsE
183,183,12.5663706144,30002,3094,2226,993,1039,600,1255,861,3297,1210.87707117,594,656.962536281,25.5896689764,66.2435342227,28,2249,80.3214285714,7,12703.0402396
210,210,12.5663706144,29851,2685,1647,711,751,405,1795,943,2420,875.456847602,817,693.606543794,26.9353890758,57.4115724892,11,891,81,0,16092.8453038
213,213,12.5663706144,29359,2983,2482,1017,1414,734,1117,763,3913,1292.88749178,510,574.290350324,23.4145991303,69.8565666663,34,3278,96.4117647059,3,12809.5320744
215,215,12.5663706144,24609,2580,1579,830,666,427,1002,741,2267,977.779400118,545,564.535053473,27.8295656565,65.9463873737,26,2175,83.6538461538,8,10132.4108125
277,277,12.5663706144,26626,2447,1857,711,975,465,1718,936,2854,899.120605633,948,721.872069112,26.6991179456,57.1583760501,9,1081,120.111111111,0,14119.3885069
219,219,12.5663706144,31442,3127,3080,1154,1557,775,1575,943,4674,1439.56077703,717,687.012471971,22.6091508821,61.3162990012,33,3048,92.3636363636,0,14774.5895669
225,225,12.5663706144,33581,3237,3216,1151,1486,677,2330,1202,4753,1426.35217508,1167,903.440067496,23.2524983465,53.1737085527,21,2046,97.4285714286,1,17615.4577563
274,274,12.5663706144,26555,2454,1119,574,475,325,1385,781,1610,701.332198246,505,527.295959473,30.155703109,54.2481620517,8,609,76.125,0,14541.2256955
236,236,12.5663706144,13621,1418,608,339,321,230,686,408,935,430.817377786,184,251.976052778,37.8832164741,56.4276515996,9,710,78.8888888889,0,7823.86359861
164,164,12.5663706144,40518,3865,2580,1046,987,529,2485,1273,3614,1251.35105059,895,864.684197823,26.0517052732,68.7937364538,18,1600,88.8888888889,1,21243.7955081
287,287,12.5663706144,37084,3464,1891,870,689,431,2168,1126,2618,1038.17001015,844,790.365321914,27.4097376658,62.7737698138,14,974,69.5714285714,1,19804.3422
114,114,12.5663706144,34680,4028,1755,1007,573,447,1763,1195,2368,1170.29600238,740,825.690213966,34.2967500632,58.411036164,36,2357,65.4722222222,5,16466.6636179
115,115,12.5663706144,40881,4444,2965,1399,945,636,2374,1336,3972,1633.9336885,1144,1106.01064726,28.1965678521,69.0140161046,45,3361,74.6888888889,5,21875.7409198
118,118,12.5663706144,21608,2621,911,582,339,264,1144,848,1279,686.372880101,438,516.700879979,36.5263414546,47.4405150242,20,1427,71.35,3,9757.25467503
6,6,12.5663706144,39981,3641,14468,2850,9886,2096,1420,978,24364,3579.51477785,729,808.223028115,10.1045389304,67.3224236691,17,1911,112.411764706,0,11859.5742734
15,15,12.5663706144,10879,1052,514,273,157,131,735,372,677,308.946022531,172,210.238480614,29.6036236209,75.3958238046,3,234,78,0,7096.47552846
380,380,12.5663706144,5703,463,374,183,200,105,198,128,573,212.561231252,77,92.326081582,21.9600876117,85.8645141338,4,274,68.5,0,2309.38387173
23,23,12.5663706144,23839,2390,2024,874,1015,530,1214,728,3045,1042.79659348,661,577.651687453,26.2909989001,63.7989138571,22,2240,101.818181818,0,11245.2147354
32,32,12.5663706144,30599,3812,4910,1431,2293,916,1142,835,7223,1758.09337013,520,669.526790959,27.6969641128,86.2905146986,36,3020,83.8888888889,2,9203.1605507
24,24,12.5663706144,80005,8536,30535,5636,20459,4599,1613,1294,51014,7328.45709601,1001,1299.59145444,9.34203534685,51.676828029,24,2047,85.2916666667,0,11710.5160204
22,22,12.5663706144,48438,4978,13350,2735,7847,1956,2261,1308,21205,3429.40818284,1213,1048.70626995,13.8770971816,54.0789880527,28,2383,85.1071428571,1,14694.0110856
12,12,12.5663706144,20860,1987,2637,714,1290,457,1368,702,3937,889.332902495,592,488.983978877,24.2841748968,84.2403007775,20,2344,117.2,1,9324.77076386
2,2,12.5663706144,37058,3680,5975,1799,2938,998,1461,987,8961,2141.11864807,788,866.023151748,21.2939626754,68.2599007608,31,2347,75.7096774194,2,15101.9598697
18,18,12.5663706144,48175,4575,5808,1791,2966,1080,2806,1469,8831,2207.20808707,1204,1122.52668784,20.2136325501,69.4096483419,29,2553,88.0344827586,2,22723.7888447
1,1,12.5663706144,43036,3843,6583,1795,3909,1342,2126,1287,10508,2260.67385612,653,719.203321911,16.2519492746,49.7903293281,22,1581,71.8636363636,0,18562.8097373
8,8,12.5663706144,30061,2776,2349,883,1135,520,1861,1028,3522,1104.4633239,1023,788.551485358,25.9892228953,56.9449988454,13,1512,116.307692308,0,15519.7495737
5,5,12.5663706144,25801,2392,1150,568,519,338,1359,769,1687,700.21188201,522,526.500249399,29.1810964813,54.1927688816,8,609,76.125,0,14120.5167691
60,60,12.5663706144,40352,4394,2655,1214,897,588,2430,1398,3622,1437.00006854,1107,1064.58147499,28.0875665444,63.8819549029,41,2966,72.3414634146,6,20828.1838798
44,44,12.5663706144,36724,3114,8211,1612,5687,1289,1425,762,13892,2126.52395139,662,614.236895626,11.322800324,69.3912222394,16,1049,65.5625,0,14280.9985604
54,54,12.5663706144,32939,2616,10821,1894,6529,1450,1036,610,17349,2421.33977728,508,516.532028989,9.07368556917,55.2967277503,14,821,58.6428571429,0,9289.13405501
56,56,12.5663706144,37386,3098,12272,2422,8494,1895,1343,925,20760,3108.86038349,607,656.807908155,8.33739090959,56.8146993351,14,1634,116.714285714,0,11594.1847094
83,83,12.5663706144,57306,5696,18782,4075,11556,2936,2226,1454,30351,5069.37601707,1002,1146.815634,11.6248042058,66.0895808638,23,2841,123.52173913,1,16873.8533736
