TEA,SLN,AreaSqMi,popaduE,popaduM,bachE,bachM,profE,profM,k34E,k34M,multdegE,multdegM,k34esE,k34esM,multdegCV,k34esCV,oostct,oostcap,oostcap_me,qualcc,kidsE
234,234,12.5663706144,22270,2392,698,508,207,227,1816,904,927,604.817130965,548,576.282698627,45.163856381,67.7487995984,19,1078,56.7368421053,2,14433.8824019
161,161,12.5663706144,26404,2780,831,580,277,279,2104,1034,1132,706.016966461,568,621.185535295,44.6929650796,66.9125231551,23,1270,55.2173913043,2,17018.2555698
207,207,12.5663706144,34961,3467,1533,881,523,425,2563,1280,2084,1040.37971861,573,672.345310541,36.6497118912,68.9908385307,22,1368,62.1818181818,2,21403.1612926
222,222,12.5663706144,30785,2952,2631,946,1297,611,1986,1062,3946,1184.15272302,531,562.412796119,28.1707816918,63.3732595784,14,868,62,0,16352.5224382
303,303,12.5663706144,30743,3147,1073,689,384,346,2226,1112,1480,836.527742734,509,604.875774079,41.5391859891,67.3826014045,22,1388,63.0909090909,2,18711.457134
119,119,12.5663706144,38442,3287,10100,2013,4887,1337,1349,806,14984,2459.48798287,565,623.030032603,12.4411935681,60.6792187792,11,649,59,1,11924.5283
279,279,12.5663706144,43071,3268,12771,2523,5380,1657,1284,884,18150,3053.65651701,821,760.784412247,10.2420685242,86.6233079007,0,0,0,0,11376.8330998
304,304,12.5663706144,38992,3353,12286,2414,5998,1748,1123,818,18286,3008.23136838,551,675.448274995,9.85401068267,73.395012124,5,405,81,0,10462.0599924
154,154,12.5663706144,44395,4275,5019,1808,2147,1117,2783,1577,7171,2153.74521115,975,990.065224571,20.1307094831,57.7024644667,12,977,81.4166666667,0,21710.7941875
126,126,12.5663706144,5980,488,522,170,146,73,326,162,666,186.051940175,111,106.708587095,18.197215869,62.1172244899,0,0,0,2,3208.50626319
208,208,12.5663706144,4023,328,322,107,107,52,215,112,426,120.579323412,75,77.5445438461,17.1813235174,65.3628913959,0,0,0,2,1999.23739263
