TEA,SLN,AreaSqMi,totalpopE,popunisE,popinsE,priE,pub,bphighE,casthmaE,checkupE,SUM_mhlthE,obseityE,phlthE,sleepE,strokeE,POP,SCHOOLNAME,STD_hel_le,MEAN_hel_l,pharm,clinicct,groc,avgfruits,avgveg
72,72,12.5663706144,41846,10170,31671,12196,20566,20753.1256718,5098.36122675,31055.3642962,7693.49910098,19501.8340281,8298.0440927,17711.6171768,2886.65190385,41610.5943266,Zumwalt Middle School,1.80438182449,70.2402788372,8,1,4,132.231715586,135.980794144
43,43,12.5663706144,49901,12983,36898,21437,17228,18136.0407388,5001.92652983,33381.5134105,8086.68264493,19375.1234749,7868.03109829,18426.1788023,1967.0926481,49752.1421209,Browne Middle School,1.84813852136,63.5587202601,10,2,4,170.681380518,177.76221696
100,100,12.5663706144,75974,20256,55693,32167,25871,25853.3016758,7230.37639625,49246.2445897,12587.8863541,29050.6863644,12318.8641604,27380.4637047,2745.50950033,75789.4519932,Holmes Jr. Middle School,2.01491168137,72.3502015026,11,2,7,173.165757253,181.652128246
284,284,12.5663706144,51506,12121,39377,27715,14816,16459.2647299,4660.31898353,33885.0134696,7404.81538043,17008.1753898,6919.45551036,17181.2999604,1606.20726734,51458.338708,Highland Meadows Elementary School,1.69946078009,66.0925914344,8,1,3,194.283128778,195.533034342
280,280,12.5663706144,67375,14755,52605,42972,13424,16085.005764,5005.48513901,38632.2254186,7257.36020083,17495.8682648,5970.28491254,18942.9618803,1308.36066652,67385.2971086,Frank Elementary School,1.98664220552,65.9004317046,14,2,4,233.92556246,237.01630642
169,169,12.5663706144,46588,6065,40523,34166,11495,15315.7548796,3805.16071601,32522.5925773,4896.87551354,12955.4094134,4863.5407431,13636.620031,1357.02448635,46604.0231284,Kramer Elementary School,3.78251724078,73.4321884145,43,2,7,238.112931661,237.101352144
167,167,12.5663706144,22901,7031,15868,7897,8359,6087.98212216,1953.44900693,12304.1968678,3541.57323638,7410.51886536,3087.49795311,7182.22070836,600.978760161,23397.256129,Kleberg Elementary School,2.1352488812,60.693313002,2,1,1,166.874848789,173.915853413
187,187,12.5663706144,21324,7193,14129,6650,7667,6703.60727538,2019.88940305,12682.7135988,3752.35304867,8023.82476132,3486.72001936,7520.51644258,713.282353578,21294.6220191,Moseley Elementary School,1.57575798105,75.2612597109,0,0,0,161.367835648,168.116865703
305,305,12.5663706144,11550,3540,8007,3899,4285,3838.21015126,1146.81178403,7233.82383774,2125.84598727,4537.16020618,1995.90075011,4261.199334,406.772280126,11528.9728806,Halliday Elementary School,1.45912333979,76.4662107734,0,0,0,162.859278641,170.451736729
142,142,12.5663706144,24433,5341,19086,8074,11674,11986.06074,2982.70430799,18302.8880705,4352.67265804,11233.6300552,4541.01031542,10339.9827475,1583.79922408,24223.7803843,Ervin Elementary School,2.0167593378,70.5740454674,6,0,3,135.07646201,138.952318258
