TEA,SLN,AreaSqMi,thhE,thhM,oohhE,oohhM,rohhE,rohhM,ocb1E,ocb1M,ocb2E,ocb2M,ocb3E,ocb3M,ocb4E,ocb4M,ocb5E,ocb5M,rcb1E,rcb1M,rcb2E,rcb2M,rcb3E,rcb3M,rcb4E,rcb4M,rcb5E,rcb5M,bb1E,bb1M,bb2E,bb2M,bb3E,bb3M,bb4E,bb4M,bb5E,bb5M,commctrs,libct,SUM_SqMi,aduincar_c,STD_TotOff,aduincar_m,rv1,rv2,rv3,rv4,rv5,bv1,bv2,bv3,bv4,bv5,rvp,bvp,ltrvp,ltbvp,juvcrime_3,juvcrime,adupopE,popE,juvpopE,evf,avgevf
68,68,12.5663706144,17531.6419029,1130.86460141,8509.23755223,1235.59909371,9022.40435064,1433.17381866,720.77835395,532.66182942,472.546722914,434.586694908,309.965634786,369.911016825,269.878108165,314.369046266,201.159572713,265.107616425,1863.32980501,850.182058785,1519.2671512,822.425953238,415.361855089,426.418381321,226.45549458,305.125990041,12.2837435135,199.116736683,10279.1772048,3201.38502152,25021.0211168,3891.26353643,2711.22150699,930.501422916,53543.6715603,5544.62516371,15004.649379,3524.17509868,5,1,0.589489248101,244,1.25062275175,2.9863532282,20539.6098176,5.59982081017,2,8.86381205704,387.156900392,1642.07569341,0,1.90425305069,0,103,0.0223121844125,0.0703628255845,0.0218351366468,0.0695161969547,614,205,40345.2473145,53438.4457837,7466.42892726,1387,693.5
59,59,12.5663706144,25244.9903437,1275.54880297,14348.8508397,1778.0822155,10896.139504,1980.34720847,1254.13078449,836.114364034,891.304910051,722.700488984,726.926893082,693.271262161,339.259071112,459.483755595,81.2937826108,294.939146215,2379.28769321,1130.15435185,2094.08770818,1188.29925751,603.203192409,657.010785049,175.67319471,400.697686681,0,266.372401871,19285.8566361,5258.73021988,39686.9379789,6116.8660773,4339.49392366,1521.04055921,88529.2773885,8217.93761933,27018.9261158,5515.04024431,2,2,0.667604469127,210,0.631645973543,1.35178891012,27651.2503706,8.50265700899,3,14.9352833443,573.061481241,1944.03162085,0,10.0463668266,0,66,0.0218638932114,0.0882872476826,0.0205903626357,0.0844260229629,598,199,64594.0433389,88395.1341883,13204.8084391,1576,788
48,48,12.5663706144,24350.4006967,1293.54791444,13310.0238537,1469.99339602,11040.376843,1742.26967246,753.713173834,632.623293624,847.03203557,645.451953316,694.74031509,564.648030691,397.236537864,387.323805741,392.221591105,380.195597271,2188.23226257,935.093894792,2208.81336639,1229.89983948,379.248026844,432.038106451,201.962968341,314.667315675,31.646991483,197.64764574,11680.2531526,3481.25105023,30822.1196173,4260.47924875,4703.62842337,1402.37017099,63540.3432278,6080.54257148,16604.2653964,3800.12710091,2,2,0.737886988445,263,2.54786976139,5.00649027249,28115.6088412,93.0052188188,111,89.2239152678,649.052322378,2184.47765806,12,34.0654982016,3,307,0.0313982626994,0.207860364946,0.0222075384796,0.175851886536,553,184,48370.4347196,63579.8800816,6906.59591524,2404,1202
50,50,12.5663706144,21768.3281061,1137.66683255,12825.3223524,1273.52516936,8943.00575374,1465.77864606,510.575795291,426.321858047,614.636633517,543.973873148,543.096544248,465.715623921,395.570216038,403.192823858,561.088217858,423.539417257,1403.98030626,751.696875234,2136.53608781,1021.93486896,462.682434663,425.557613912,310.96201244,360.084516073,111.447799322,247.475317662,10283.023327,2533.26860208,26783.6485449,3160.53568264,5102.82772355,1186.2389644,52290.4390179,4303.16504348,12632.3055556,2432.42184444,0,1,1.67271216137,119,1.327907094,2.31921174498,24693.7509356,47.5614163714,53,39.6024413481,293.853250374,2266.53206866,6,17.3762623326,3,308,0.0190890653049,0.152025436055,0.0131450987532,0.136534206187,329,110,41036.896761,52256.9749754,3921.84920379,1755,877.5
72,72,12.5663706144,15544.9641035,1111.79450524,7170.3785276,1155.0588492,8374.58557591,1398.17691456,987.189964497,551.968075859,631.815762342,441.31061263,358.167820042,366.725845657,28.2477978732,160.79907889,8.99999997423,154.301297147,2713.62811807,1025.97760702,1440.85841213,782.969911132,340.743671533,373.783384096,12.2823857577,147.883695316,0,152.301297152,5483.23872936,2318.30675103,10699.7402992,3037.41519707,2189.69545552,875.484354663,41528.4829968,5050.58070142,11586.3317012,3007.57417781,5,2,0.726089254323,442,3.69501522149,6.71103273479,19451.4788692,47.590908603,76,73.2796266743,825.433877404,1212.69791629,0,9.25085004035,4,91,0.0562704063236,0.0909066519793,0.0496996389431,0.0854995625181,899,300,31292.922076,41610.5943266,4737.36916629,2602,1301
43,43,12.5663706144,16099.2475894,911.402812564,7311.67451301,1012.06755464,8787.57307637,1280.46420058,582.921281587,409.547419026,540.71225447,448.61475465,438.166569756,388.898064224,247.230415551,315.33189837,47.6331120785,182.710552939,2412.65374905,918.623495166,1659.63766766,807.565094677,441.41449427,454.023787108,46.3139036413,171.400376767,0,144.038796929,10170.180273,2826.09702716,20171.9733939,3597.42193485,2692.92143599,871.101316849,49663.2880658,4845.67069825,15072.818758,3245.43652489,2,1,0.812910748754,206,0.834598340993,1.74094128111,18440.7141473,5.58530430121,1,6.00115943534,395.41633246,1827.17142926,0,2.91736185749,0,147,0.0191004879268,0.11376778235,0.0180802181597,0.108426594338,498,166,36464.7536901,49752.1421209,7222.10697751,2772,1386
100,100,12.5663706144,22316.9965731,1090.20532294,12282.7475305,1522.93638941,10034.2490426,1732.9903722,1111.10780166,734.342812474,785.425650302,639.820424705,650.000290577,587.706912556,294.928055699,426.998966967,72.4686005982,259.374425464,2482.81404875,1078.43003076,1924.97509458,1067.95734546,544.703422181,586.500326889,114.346683032,313.351392564,0,227.039122817,16575.0250261,4389.98911162,32802.6780284,5239.64217842,3905.21518798,1315.35089664,75808.2366982,7017.8696231,23514.2880476,4680.28816582,2,1,0.716566995452,226,0.695564110861,1.44274739422,24981.6190385,5.88755155209,3,8.92080796893,488.87858555,1949.02550113,0,3.89343601893,0,90,0.0203716546349,0.0958592379386,0.0192196044512,0.0941283653477,644,215,55059.2522936,75789.4519932,11273.1484538,2509,1254.5
284,284,12.5663706144,19530.3940604,1055.77481407,10107.0530645,1131.68563185,9423.34099584,1356.02526107,463.803970973,375.230979542,554.874476112,480.385018608,547.550946459,458.89337086,318.022044004,368.47900233,258.418079885,287.677143301,1696.91718594,849.502366249,2533.15820851,1057.63497564,401.66994573,391.630174081,213.884945951,282.947656147,74.6588499545,217.230089448,10981.8391285,2767.92451333,24709.889038,3244.40321741,4096.92559153,1011.59629294,51481.7443301,4580.25481054,14034.5362477,2797.77276023,0,1,0.484645252013,143,2.95935551898,6.53179699245,21316.0464056,32.0401488705,29,22.1469189297,274.918278576,3275.28021989,6,10.9350064551,9,404,0.0186713785974,0.148830773581,0.0134057048223,0.141424867594,319,106,39029.0500913,51458.338708,5203.60254759,1726,863
280,280,12.5663706144,33300.9878161,2070.80993294,7511.17984672,1349.8400734,25789.8079693,2307.5348829,380.422288048,430.87495562,378.024201946,449.62530933,258.977507125,375.481774104,233.089585572,343.752676115,506.78252568,467.122633714,2896.77517058,1492.33814714,3334.16413378,1439.24182972,2544.18094348,1360.2290847,903.386434232,661.788975929,142.98244224,334.704660184,10190.0418977,3399.78204917,40035.5898029,5210.64799095,6077.25219967,1775.53073367,67417.7927673,6653.16693036,12832.151994,3689.07387204,1,0,0.166333090195,87,2.28158580878,5.01909108398,40902.8429191,28.8501174752,46,43.6635274242,339.936628757,8499.91098772,119,81.5143434926,162,899,0.00857383979566,0.156304400922,0.00641562690099,0.133416393967,225,75,55781.5632398,67385.2971086,6948.00859695,3150,1575
169,169,12.5663706144,21769.0113666,1331.56459304,10517.7611505,1242.44964715,11251.2502161,1385.55518186,579.612884444,455.441955385,488.948417402,413.901857551,474.78588585,416.966693858,348.474274618,380.232558487,902.60560775,545.553884637,1481.64646686,804.1274479,1736.65264555,756.018078423,980.217693333,616.718771078,457.708165872,472.838141845,177.088237282,294.328577453,7583.04777675,1947.98813206,26456.3266276,3201.33456244,6761.99223796,1448.87839053,46590.264256,4250.04962337,8454.53517031,2060.04593027,4,1,0.424268193666,118,2.33900875772,3.37618335864,28307.7836387,20.0064181066,24,32.3817995992,189.200022339,5510.91949302,52,138.658394001,60,513,0.00927035520791,0.1199565443,0.00732589042432,0.095152617464,158,53,39629.8658005,46604.0231284,5049.0870681,1419,709.5
167,167,12.5663706144,6242.77719066,434.250306727,3872.90616018,544.32293946,2369.87103047,530.746787506,401.498147656,250.386839335,285.996366332,206.50575082,221.091967551,182.813836537,112.010311416,113.916920015,12.3359229965,56.0441940853,465.281678686,271.496523815,395.878116686,240.524280065,161.784929066,152.745269553,121.937109922,169.755858058,2.32807696039,58.6646692126,6735.28403777,1544.09315319,10659.3455857,1509.46780563,784.544130369,321.230883267,22860.5316918,2214.35248371,8266.20648688,1492.37608032,1,1,0.12698953434,87,4.2203460468,13.1584249101,8939.01683526,4.38874639201,4,5.84142301761,53.7299568744,435.411047829,0,0.530432070561,0,14,0.011907059215,0.0541204414195,0.0100206379642,0.0489723756565,200,67,15750.1603935,22831.3288174,3349.41678131,1411,705.5
187,187,12.5663706144,5772.50530499,313.046599896,3835.46087278,459.099359755,1937.04443221,458.550022991,428.438591394,248.301959921,439.889490201,279.815936093,224.779545624,197.477092733,62.3945781433,93.6242887745,17.7619068564,67.6952548172,371.630899371,223.858293954,265.864511229,212.949868332,144.220918909,151.495193727,68.4041631365,119.166260151,4.73242833125,63.6051446828,4654.13432253,1236.30646264,8748.60702916,1505.06504454,702.342004224,300.919800818,21284.3511735,1836.06109619,7080.49841398,1206.6925907,1,0,0.2253737657,208,4.05869273883,8.32312527821,7381.01440699,3.01736014471,1,7.78175695871,94.7753558329,561.590394677,0,0.196436164423,0,22,0.011779665012,0.0447269198566,0.01101382035,0.0436620080487,131,44,14931.2602601,21294.6220191,2962.79174354,265,132.5
305,305,12.5663706144,3144.10259937,163.428054299,2192.94390778,257.085306435,951.158691597,255.934294863,214.27250601,133.660674391,236.404420057,149.51855094,76.3817324022,76.8776159506,55.3586145207,68.8727986034,12.6187674889,39.1775884,156.876438843,113.867346456,111.019727791,112.039169675,84.2241136099,88.4418263406,35.4049134235,63.811182536,9.43329652759,36.0312178569,2282.11918003,631.82182775,4685.11914471,804.588925976,449.586904781,186.841886079,11496.9777228,1020.24399005,3797.79792592,700.059736935,0,0,0.201831095548,178,6.57710638981,13.6517037789,3657.40111595,0.753746018251,0,2.98105829055,40.1511426781,213.393330672,0,0.209491650659,0,13,0.00699420825505,0.0300692035845,0.00658699806576,0.0293695976135,64,21,8114.20686915,11528.9728806,1621.30810764,133,66.5
