TEA,SLN,adupopE,adupopM,popE,popM,belpovE,belpovM,kidsE,kidsM,cbpE,cbpM,u5E,u5m,u5bpE,u5bpM,econ_5t17E,econ_5t17M,econ_5t17b,econ_5t1_1,juvpopE,juvpopM,unemE,juvunemE,urE,urM,medincM,pyrE,pyrM,AreaSqMi,blockcount,lwjobs,mwjobs,totjobs,paydayct,creditunio,retailbank,medincE,MEAN_eco_2,econ_popov,econ_pop_1
68,68,40345.2473145,3868.43404509,53438.4457837,5536.42598499,12969.2353058,4336.12886636,14857.6893872,3511.07392556,5605.66895798,2643.11981367,4199.99066458,1652.64656582,1506.21161164,1061.62591472,10657.6987227,3037.14960809,4099.45734634,2114.66411964,7466.42892726,2103.6870979,2595.19657233,1699.94984161,6.97729490825,3.86376058917,9058.38567442,27.8228469895,37.658248995,12.5663706144,264,4130,8225,22666,9,0,10,24997.8585447,3656.81482624,40346,3842
59,59,64594.0433389,5686.43687151,88395.1341883,8226.25200292,18248.8814186,6786.58700466,26756.4439215,5499.50395256,7804.99286764,3973.68516477,7474.89585238,2845.56278998,2237.99560326,1611.01060139,19281.5480691,4516.50038857,5566.99726438,3005.74508973,13204.8084391,3367.81258949,4571.75628544,4372.96438846,7.67742200375,3.49294943082,9418.71738541,35.042976509,33.1113868336,12.5663706144,230,3201,5019,10561,17,0,7,24607.4651765,3030.45258581,64588,5665
48,48,48370.4347196,4054.93525728,63579.8800816,6062.01654565,11599.3961879,4755.25021443,16509.1021563,3779.64052321,4880.46265109,2813.22397051,5170.49873366,2092.68360038,1579.87401179,1240.20039561,11338.6034226,2920.63646827,3300.5886393,1984.02839232,6906.59591524,2240.51543942,2065.832386,1707.05920035,3.46506805239,2.31604467787,10316.2953827,17.5558514521,43.5570762099,12.5663706144,246,2920,4045,10436,10,3,7,38614.9137446,5401.29308588,48371,4052
50,50,41036.896761,3189.70589397,52256.9749754,4293.92066295,6957.15560163,2929.34779754,12582.7115127,2425.50215296,2767.03147239,1631.16176606,4607.55159367,1520.93814635,930.015776912,701.004954023,7975.15991906,2025.87727523,1837.01569548,1217.18911857,3921.84920379,1494.75950996,1237.60758648,1083.82706151,2.41888354253,1.82198178764,13662.8813525,17.5406364054,54.4158791361,12.5663706144,299,3907,4887,12460,8,0,6,46480.789846,7203.26657366,41041,3195
72,72,31292.922076,3621.36027723,41610.5943266,5042.03524709,14738.6900718,4300.86141621,11521.9072992,2991.77855969,5432.58214166,2526.80924518,2809.06333425,1332.02553914,1429.4044105,995.110134627,8712.84396495,2482.19606215,4003.17773116,2028.68489028,4737.36916629,1689.26852999,2760.97403851,1459.34866258,8.97863791305,5.42577371617,5744.81386532,30.52552858,51.2728396579,12.5663706144,95,847,1088,2598,5,1,4,17948.0027692,3204.33399252,31293,3617
43,43,36464.7536901,3384.08539669,49752.1421209,4841.00706377,11923.5052465,4481.80107937,15021.633519,3245.05163384,4899.08320175,2546.72070688,4244.36403693,1760.02413455,1250.64364502,939.009261652,10777.2694821,2528.35754179,3648.43955673,1960.69239914,7222.10697751,2071.45350792,2751.95637677,2813.72660316,8.25019297684,4.00389481606,8723.54358204,40.0351145713,32.8145569435,12.5663706144,155,2570,5160,12477,4,1,6,24645.8254665,3513.70328635,36455,3369
100,100,55059.2522936,4806.08983716,75789.4519932,6998.94161222,16637.6892243,6127.76139577,23364.9199907,4668.13424571,7155.07580036,3552.23487702,6471.18912354,2498.47024975,1957.33322339,1359.48434796,16893.7308672,3792.57506165,5197.74257697,2729.35303989,11273.1484538,2897.75187683,4144.9178288,4073.74716309,8.05454865951,3.6612313223,9562.64959309,38.3680482402,32.4813916269,12.5663706144,203,2623,3791,8893,9,1,7,24810.4478456,3264.39862408,55053,4780
284,284,39029.0500913,3184.97328156,51458.338708,4570.30279244,9243.56752597,3821.85878907,13993.1377418,2795.79614771,4209.57710593,2339.98468831,4979.2927285,1684.08438854,1382.68265106,956.004040717,9013.84501329,2257.87116926,2826.89445487,1764.07064341,5203.60254759,1771.06197071,1593.38346217,1647.37680075,4.37564372421,2.66034168539,10200.3335663,27.9207889907,40.7195734641,12.5663706144,306,6471,11934,32576,8,0,4,33643.7886859,5096.61222216,39028,3187
280,280,55781.5632398,4865.05435279,67385.2971086,6649.13184371,7107.54579007,3477.46272066,12772.8596711,3678.37124933,2526.68894399,1797.30124803,4708.680306,2469.53993319,824.311518865,892.817735214,8064.17936506,2899.41568912,1702.37742512,1303.6552526,6948.00859695,2802.37232498,1921.16661993,1098.63781209,3.01745130654,2.31605346372,13287.2453418,14.2582384031,50.5355043812,12.5663706144,392,24681,38679,152262,10,5,25,49624.9277009,6334.38734624,55782,4862
169,169,39629.8658005,3430.68486434,46604.0231284,4247.66537107,4558.26408565,2282.03491221,8440.9977273,2058.51732799,1288.77014584,1155.25411843,2535.12178666,1200.53617176,458.3793417,523.135528237,5905.87594065,1758.79076836,830.39080414,828.604815072,5049.0870681,1683.93128102,1245.61740742,666.225099239,2.98853850971,2.42156255643,13973.6999586,9.58013286161,62.245150096,12.5663706144,372,13266,20087,70860,5,8,26,60602.0023806,10618.0763227,39634,3426
167,167,15750.1603935,1558.44541319,22831.3288174,2203.45661517,4766.13827053,1761.06809782,8194.78578248,1491.39878453,2225.72836514,1152.19533348,2456.38161965,768.919419606,731.027096707,498.163388107,5738.40416283,1224.56232062,1494.70126843,813.554106121,3349.41678131,863.553306255,818.584721734,821.424166166,5.70660221549,3.00971037443,7687.42200772,23.4577625263,23.5446755544,12.5663706144,75,413,652,1551,0,0,0,23468.7862375,3307.15487584,15748,1555
187,187,14931.2602601,1283.74539615,21294.6220191,1827.65937969,5209.34488896,1700.90866629,7053.19284027,1203.23215614,2277.96135936,1002.96841281,1812.93042408,599.305245915,524.499067779,337.460534026,5240.26241619,1015.78706762,1753.46229158,803.507603162,2962.79174354,764.903897174,697.695277178,455.812702004,5.62506092407,2.7514231294,5778.82986821,20.1060030629,29.2928095157,12.5663706144,65,454,814,2103,2,0,0,23379.1445029,2505.67867687,14931,1280
305,305,8114.20686915,676.164830442,11528.9728806,1025.1980938,2430.27352467,923.191069458,3787.34324933,700.770655463,1102.42201778,535.220155083,998.280649953,308.852964706,268.703480107,185.401409019,2789.06259938,581.09806257,833.718537677,420.908347861,1621.30810764,419.316982469,387.549223801,298.593983933,6.82140207558,2.85930866335,4467.84997005,27.7687596617,33.4883833394,12.5663706144,41,332,523,1468,0,0,0,22625.6903208,1823.68824684,8117,674
142,142,18291.1639802,2157.9513924,24223.7803843,3048.14925864,7814.54161723,2288.43907489,6776.86244853,1962.85202136,2984.02862243,1371.24192106,1811.67759586,864.376867894,806.408417222,537.706245823,4965.18485267,1560.62759165,2177.62020521,1085.39845409,2883.88224483,1059.7132919,1788.21967019,833.610783323,9.24369303872,5.46417956955,5603.15228067,19.7747841434,57.0485637552,12.5663706144,65,915,1481,3379,0,0,1,17385.3032897,2816.05857162,18289,2154
